Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2014,Jordan Zumwalt\ZumwJo00,OLB,22,,UCLA,College Stats,6-4,235,4.76,33.0,,116,6.99,4.25,Pittsburgh Steelers / 6th / 192nd pick / 2014
2,2014,Kerry Wynn\WynnKe00,DE,23,12,Richmond,,6-5,266,4.97,34.0,31,113,,,
3,2014,Avery Williamson\WillAv00,ILB,21,36,Kentucky,College Stats,6-1,246,4.66,30.5,25,120,7.11,4.07,Tennessee Titans / 5th / 151st pick / 2014
4,2014,Chris Whaley\WhalCh01,DT,23,,Texas,College Stats,6-3,269,5.02,,,,,,
5,2014,Lavelle Westbrooks\WestLa00,CB,22,,Georgia Southern,,5-11,186,4.63,36.0,15,121,6.98,4.27,Cincinnati Bengals / 7th / 252nd pick / 2014
6,2014,Ethan Westbrooks\WestEt00,DE,23,12,West Texas A&M,,6-3,267,4.90,29.0,19,110,7.30,4.67,
7,2014,Jaylen Watkins\WatkJa01,CB,22,5,Florida,College Stats,5-11,194,4.41,,22,,,,Philadelphia Eagles / 4th / 101st pick / 2014
8,2014,Jimmie Ward\WardJi01,SS,22,16,Northern Illinois,College Stats,5-11,193,4.59,,9,,,,San Francisco 49ers / 1st / 30th pick / 2014
9,2014,Jason Verrett\VerrJa00,CB,22,12,TCU,College Stats,5-9,189,4.38,39.0,,128,6.69,4.00,San Diego Chargers / 1st / 25th pick / 2014
10,2014,Brock Vereen\VereBr00,SS,21,2,Minnesota,College Stats,6-0,199,4.47,34.0,25,117,6.90,4.07,Chicago Bears / 4th / 131st pick / 2014
11,2014,Kyle Van Noy\VanNKy00,OLB,22,37,BYU,College Stats,6-3,243,4.71,32.5,21,112,7.22,4.20,Detroit Lions / 2nd / 40th pick / 2014
12,2014,Brent Urban\UrbaBr00,DE,22,15,Virginia,College Stats,6-7,295,4.98,,,,,,Baltimore Ravens / 4th / 134th pick / 2014
13,2014,George Uko\UkoxGe00,DT,22,0,USC,College Stats,6-3,284,4.99,29.5,18,110,,,
14,2014,Stephon Tuitt\TuitSt00,DT,20,33,Notre Dame,College Stats,6-5,304,4.92,,31,,,,Pittsburgh Steelers / 2nd / 46th pick / 2014
15,2014,Jordan Tripp\TripJo00,OLB,22,3,Montana,,6-3,234,4.67,37.5,22,120,6.89,3.96,Miami Dolphins / 5th / 171st pick / 2014
16,2014,Khyri Thornton\ThorKh00,DT,24,3,Southern Miss,College Stats,6-3,304,5.03,29.0,28,112,7.83,4.76,Green Bay Packers / 3rd / 85th pick / 2014
17,2014,Robert Thomas\ThomRo04,DT,23,2,Arkansas,College Stats,6-1,327,5.26,,32,,,,
18,2014,Jemea Thomas\ThomJe03,CB,23,0,Georgia Tech,College Stats,5-9,192,4.52,37.0,19,125,,,New England Patriots / 6th / 206th pick / 2014
19,2014,Will Sutton\SuttWi00,DT,22,9,Arizona St.,College Stats,6-0,303,5.36,28.5,24,99,7.93,4.82,Chicago Bears / 3rd / 82nd pick / 2014
20,2014,Vinnie Sunseri\SunsVi00,SS,22,0,Alabama,College Stats,5-11,210,,,18,,,,New Orleans Saints / 5th / 167th pick / 2014
