Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2015,T.J. Yeldon\YeldT.00,RB,21,21,Alabama,College Stats,6-1,226,4.61,36.0,22,117,7.19,4.22,Jacksonville Jaguars / 2nd / 36th pick / 2015
2,2015,Cam Worthy\WortCa00,WR,22,,East Carolina,College Stats,6-2,211,4.59,,12,,,,
3,2015,Jameis Winston\WinsJa00,QB,21,59,Florida St.,College Stats,6-4,231,4.97,28.5,,103,7.16,4.36,Tampa Bay Buccaneers / 1st / 1st pick / 2015
4,2015,Trey Williams\WillTr03,RB,22,0,Texas A&M,College Stats,5-7,195,4.49,33.5,18,119,6.84,4.12,
5,2015,Maxx Williams\WillMa04,TE,20,6,Minnesota,College Stats,6-4,249,4.78,34.5,17,117,7.30,4.37,Baltimore Ravens / 2nd / 55th pick / 2015
6,2015,Karlos Williams\WillKa01,RB,21,4,Florida St.,College Stats,6-1,230,4.48,33.5,16,117,7.16,4.46,Buffalo Bills / 5th / 155th pick / 2015
7,2015,Daryl Williams\WillDa06,OT,22,26,Oklahoma,College Stats,6-5,327,5.34,26.0,27,97,,5.15,Carolina Panthers / 4th / 102nd pick / 2015
8,2015,Kevin White\WhitKe00,WR,22,2,West Virginia,College Stats,6-3,215,4.35,36.5,23,123,6.92,4.14,Chicago Bears / 1st / 7th pick / 2015
9,2015,DeAndrew White\WhitDe01,WR,23,0,Alabama,College Stats,5-11,193,4.44,34.5,,118,6.97,4.18,
10,2015,Darren Waller\WallDa01,WR,22,10,Georgia Tech,College Stats,6-6,238,4.46,37.0,12,125,7.07,4.25,Baltimore Ravens / 6th / 204th pick / 2015
11,2015,Clive Walford\WalfCl00,TE,23,7,Miami (FL),College Stats,6-4,251,4.79,35.0,20,120,7.32,4.57,Oakland Raiders / 3rd / 68th pick / 2015
12,2015,Laken Tomlinson\TomlLa01,OG,23,35,Duke,College Stats,6-3,323,5.33,31.5,25,103,8.17,4.87,Detroit Lions / 1st / 28th pick / 2015
13,2015,Eric Tomlinson\TomlEr01,TE,22,2,Texas-El Paso,College Stats,6-6,263,4.98,30.5,19,110,7.46,4.54,
14,2015,Tyrus Thompson\ThomTy01,OT,23,,Oklahoma,College Stats,6-5,324,5.35,29.0,29,97,,4.92,Minnesota Vikings / 6th / 185th pick / 2015
15,2015,Randall Telfer\TelfRa00,TE,22,0,USC,College Stats,6-4,250,4.83,,20,,,,Cleveland Browns / 6th / 198th pick / 2015
16,2015,Jaelen Strong\StroJa01,WR,21,2,Arizona St.,College Stats,6-2,217,4.44,42.0,,123,,,Houston Texans / 3rd / 70th pick / 2015
17,2015,Donovan Smith\SmitDo02,OT,21,43,Penn St.,College Stats,6-6,338,5.27,32.0,26,109,7.95,4.79,Tampa Bay Buccaneers / 2nd / 34th pick / 2015
18,2015,Devin Smith\SmitDe04,WR,23,2,Ohio St.,College Stats,6-0,196,4.42,39.0,10,122,,4.15,New York Jets / 2nd / 37th pick / 2015
19,2015,DeAndre Smelter\SmelDe00,WR,23,0,Georgia Tech,College Stats,6-2,226,4.52,,,,,,San Francisco 49ers / 4th / 132nd pick / 2015
20,2015,Blake Sims\SimsBl01,QB,22,,Alabama,College Stats,5-11,218,4.57,30.5,,115,,,
21,2015,Jean Sifrin\SifrJe00,TE,,,Massachusetts,College Stats,6-5,245,4.84,33.0,,114,7.50,4.60,
22,2015,Austin Shepherd\ShepAu00,OT,22,1,Alabama,College Stats,6-4,315,5.39,29.0,17,94,8.04,4.70,Minnesota Vikings / 7th / 228th pick / 2015
23,2015,Brandon Scherff\ScheBr00,OT,23,35,Iowa,College Stats,6-5,319,5.05,,23,,,,Washington Redskins / 1st / 5th pick / 2015
24,2015,Wes Saxton\SaxtWe01,TE,21,0,South Alabama,College Stats,6-3,248,4.65,36.0,,119,7.29,4.49,
25,2015,Ty Sambrailo\SambTy00,OT,22,9,Colorado St.,College Stats,6-6,311,5.36,29.0,23,97,7.54,4.58,Denver Broncos / 2nd / 59th pick / 2015
26,2015,Ezell Ruffin\RuffEz00,WR,22,,San Diego St.,College Stats,6-0,218,4.68,27.5,17,110,7.35,4.58,
27,2015,Josh Robinson\RobiJo02,RB,22,0,Mississippi St.,College Stats,5-8,217,4.70,32.0,21,113,,,Indianapolis Colts / 6th / 205th pick / 2015
28,2015,Corey Robinson\RobiCo00,OT,22,6,South Carolina,College Stats,6-7,324,5.34,,28,,,,Detroit Lions / 7th / 240th pick / 2015
29,2015,Thomas Rawls\RawlTh00,RB,21,12,Central Michigan,College Stats,5-9,215,4.65,35.5,15,116,,,
30,2015,MyCole Pruitt\PruiMy00,TE,22,3,Southern Illinois,,6-2,251,4.58,38.0,17,118,7.25,4.37,Minnesota Vikings / 5th / 143rd pick / 2015
31,2015,Jeremiah Poutasi\PoutJe00,OG,20,4,Utah,College Stats,6-5,335,5.32,26.5,26,95,8.09,4.89,Tennessee Titans / 3rd / 66th pick / 2015
32,2015,Terry Poole\PoolTe00,OT,23,,San Diego St.,College Stats,6-5,307,5.09,31.0,25,113,7.90,4.66,Seattle Seahawks / 4th / 130th pick / 2015
33,2015,Bryce Petty\PettBr01,QB,23,4,Baylor,College Stats,6-3,230,4.87,34.0,,121,6.91,4.13,New York Jets / 4th / 103rd pick / 2015
34,2015,Breshad Perriman\PerrBr02,WR,21,11,Central Florida,College Stats,6-2,212,,,,,,,Baltimore Ravens / 1st / 26th pick / 2015
35,2015,Andrus Peat\PeatAn00,OT,21,43,Stanford,College Stats,6-7,313,5.18,31.0,,105,8.01,4.62,New Orleans Saints / 1st / 13th pick / 2015
36,2015,DeVante Parker\ParkDe01,WR,22,25,Louisville,College Stats,6-3,209,4.45,36.5,17,125,,,Miami Dolphins / 1st / 14th pick / 2015
