Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2016,Anthony Zettel\ZettAn00,DT,23,10,Penn St.,College Stats,6-4,277,4.81,30.5,28,109,7.63,4.39,Detroit Lions / 6th / 202nd pick / 2016
2,2016,Tavon Young\YounTa01,CB,21,10,Temple,College Stats,5-9,183,4.46,34.5,9,118,6.80,3.93,Baltimore Ravens / 4th / 104th pick / 2016
3,2016,Connor Wujciak\WujcCo00,DT,,,Boston Col.,College Stats,6-2,291,4.91,34.5,22,117,7.32,4.27,
4,2016,Scooby Wright III\WrigSc00,ILB,21,1,Arizona,College Stats,6-0,239,4.90,31.0,22,113,,4.47,Cleveland Browns / 7th / 250th pick / 2016
5,2016,Daryl Worley\WorlDa00,CB,21,19,West Virginia,College Stats,6-1,204,4.64,35.5,14,123,6.98,4.15,Carolina Panthers / 3rd / 77th pick / 2016
6,2016,Brandon Williams\WillBr07,CB,23,4,Texas A&M,College Stats,5-11,197,4.37,30.5,18,118,6.85,4.19,Arizona Cardinals / 3rd / 92nd pick / 2016
7,2016,D.J. White\WhitD.00,CB,22,1,Georgia Tech,College Stats,5-11,193,4.49,33.0,17,132,7.18,4.33,Kansas City Chiefs / 6th / 178th pick / 2016
8,2016,Stephen Weatherly\WeatSt00,OLB,21,8,Vanderbilt,College Stats,6-4,267,4.61,31.0,23,117,,,Minnesota Vikings / 7th / 227th pick / 2016
9,2016,Adolphus Washington\WashAd00,DT,21,9,Ohio St.,College Stats,6-3,301,5.17,27.0,21,99,8.06,4.79,Buffalo Bills / 3rd / 80th pick / 2016
10,2016,Jihad Ward\WardJi02,DT,21,9,Illinois,College Stats,6-5,297,5.11,25.0,20,111,7.38,4.63,Oakland Raiders / 2nd / 44th pick / 2016
11,2016,Nick Vigil\VigiNi00,ILB,22,18,Utah St.,College Stats,6-2,239,4.72,31.5,,115,6.73,4.00,Cincinnati Bengals / 3rd / 87th pick / 2016
12,2016,Vincent Valentine\ValeVi00,DT,22,3,Nebraska,College Stats,6-4,329,5.19,29.0,17,110,8.03,4.59,New England Patriots / 3rd / 96th pick / 2016
13,2016,Ron Thompson\ThomRo06,DE,22,,Syracuse,College Stats,6-3,253,4.92,,18,,7.46,4.50,
14,2016,Lawrence Thomas\ThomLa04,DT,22,1,Michigan St.,College Stats,6-3,286,4.98,35.0,,113,,,
15,2016,Darian Thompson\ThomDa05,FS,22,9,Boise St.,College Stats,6-2,208,4.69,32.5,12,118,7.26,4.33,New York Giants / 3rd / 71st pick / 2016
16,2016,Charles Tapper\TappCh00,DE,22,0,Oklahoma,College Stats,6-3,271,4.59,34.0,23,119,,,Dallas Cowboys / 4th / 101st pick / 2016
17,2016,Eric Striker\StriEr00,OLB,,,Oklahoma,College Stats,5-11,227,4.80,30.0,23,116,7.30,4.46,
18,2016,A.J. Stamps\StamA.00,FS,,,Kentucky,College Stats,5-11,193,4.79,33.0,15,115,7.17,4.25,
19,2016,Noah Spence\SpenNo00,DE,22,5,East. Kentucky,College Stats,6-2,251,4.80,35.0,25,121,7.21,4.35,Tampa Bay Buccaneers / 2nd / 39th pick / 2016
20,2016,Terrance Smith\SmitTe04,ILB,22,4,Florida St.,College Stats,6-3,235,4.77,34.5,19,120,,,
21,2016,Ryan Smith\SmitRy00,CB,22,8,North Carolina Central,,5-11,189,4.47,36.0,18,122,6.88,4.09,Tampa Bay Buccaneers / 4th / 108th pick / 2016
22,2016,Jaylon Smith\SmitJa05,OLB,20,24,Notre Dame,College Stats,6-2,223,4.67,,,,,,Dallas Cowboys / 2nd / 34th pick / 2016
23,2016,Leshaun Sims\SimsLe00,CB,22,8,Southern Utah,,6-0,203,4.53,37.0,11,120,7.08,4.19,Tennessee Titans / 5th / 157th pick / 2016
24,2016,Justin Simmons\SimmJu00,FS,22,26,Boston Col.,College Stats,6-2,202,4.61,40.0,16,126,6.58,3.85,Denver Broncos / 3rd / 98th pick / 2016
25,2016,Elijah Shumate\ShumEl01,SS,22,,Notre Dame,College Stats,6-0,216,4.58,33.0,18,119,,4.51,
26,2016,Kevon Seymour\SeymKe00,CB,22,3,USC,College Stats,5-11,186,4.39,35.0,12,124,,4.18,Buffalo Bills / 6th / 218th pick / 2016
27,2016,Joe Schobert\SchoJo00,OLB,22,27,Wisconsin,College Stats,6-1,244,4.76,33.5,22,111,7.11,4.30,Cleveland Browns / 4th / 99th pick / 2016
28,2016,Zack Sanchez\SancZa00,CB,22,1,Oklahoma,College Stats,5-11,185,4.50,35.5,19,116,,,Carolina Panthers / 5th / 141st pick / 2016
29,2016,Keivarae Russell\RussKe00,CB,22,2,Notre Dame,College Stats,5-11,192,4.49,,17,,,,Kansas City Chiefs / 3rd / 74th pick / 2016
30,2016,A'Shawn Robinson\RobiAS00,DT,20,21,Alabama,College Stats,6-4,307,5.20,26.0,22,106,7.80,4.74,Detroit Lions / 2nd / 46th pick / 2016
31,2016,Hassan Ridgeway\RidgHa00,DT,21,8,Texas,College Stats,6-3,303,5.02,32.0,24,113,8.28,4.82,Indianapolis Colts / 4th / 116th pick / 2016
32,2016,Jarran Reed\ReedJa02,DT,23,23,Alabama,College Stats,6-3,307,5.21,31.0,,104,7.77,4.75,Seattle Seahawks / 2nd / 49th pick / 2016
33,2016,Will Redmond\RedmWi00,CB,22,2,Mississippi St.,College Stats,5-11,182,4.45,,,,,,San Francisco 49ers / 3rd / 68th pick / 2016
34,2016,D.J. Reader\ReadD.00,DT,21,24,Clemson,College Stats,6-3,327,5.33,29.5,30,99,7.90,4.71,Houston Texans / 5th / 166th pick / 2016
35,2016,Sheldon Rankins\RankSh00,DT,21,16,Louisville,College Stats,6-1,299,5.03,34.5,28,118,7.44,4.59,New Orleans Saints / 1st / 12th pick / 2016
36,2016,Jalen Ramsey\RamsJa00,CB,21,40,Florida St.,College Stats,6-1,209,4.41,41.5,14,135,6.94,4.18,Jacksonville Jaguars / 1st / 5th pick / 2016
37,2016,Reggie Ragland\RaglRe00,ILB,22,15,Alabama,College Stats,6-1,247,4.72,31.5,,116,,4.28,Buffalo Bills / 2nd / 41st pick / 2016
38,2016,Tyvis Powell\PoweTy01,SS,22,1,Ohio St.,College Stats,6-3,211,4.46,34.5,15,120,7.03,4.25,
39,2016,D.J. Pettway\PettD.01,DE,23,,Alabama,College Stats,6-2,265,4.99,28.0,17,108,7.74,4.69,
40,2016,Kevin Peterson\PeteKe01,CB,21,2,Oklahoma St.,College Stats,5-10,181,4.58,35.5,14,121,6.94,4.31,
41,2016,Joshua Perry\PerrJo01,ILB,21,1,Ohio St.,College Stats,6-4,254,4.68,33.5,20,124,,,San Diego Chargers / 4th / 102nd pick / 2016
42,2016,Gionni Paul\PaulGi00,ILB,,,Utah,College Stats,5-10,231,5.05,31.0,22,113,,,
43,2016,Montese Overton\OverMo00,OLB,24,,East Carolina,College Stats,6-2,223,4.61,34.0,18,123,7.15,4.47,
44,2016,Drew Ott\OttxDr00,DE,22,,Iowa,College Stats,6-4,273,4.88,,,,,,
45,2016,Romeo Okwara\OkwaRo01,DE,20,12,Notre Dame,College Stats,6-5,265,4.90,33.0,23,120,7.38,4.53,
46,2016,Emmanuel Ogbah\OgbaEm00,DE,22,21,Oklahoma St.,College Stats,6-4,273,4.63,35.5,20,121,7.26,4.50,Cleveland Browns / 2nd / 32nd pick / 2016
47,2016,Shawn Oakman\OakmSh00,DE,23,,Baylor,College Stats,6-8,287,4.96,32.0,23,123,7.53,4.56,
48,2016,Jared Norris\NorrJa00,ILB,22,2,Utah,College Stats,6-1,241,4.80,29.5,19,114,,4.52,
49,2016,Robert Nkemdiche\NkemRo00,DT,21,6,Mississippi,College Stats,6-3,294,4.87,35.0,28,116,,,Arizona Cardinals / 1st / 29th pick / 2016
50,2016,Dadi Nicolas\NicoDa00,DE,23,1,Virginia Tech,College Stats,6-3,235,4.74,41.0,14,116,7.04,4.38,Kansas City Chiefs / 6th / 203rd pick / 2016
51,2016,Yannick Ngakoue\NgakYa00,DE,20,35,Maryland,College Stats,6-2,252,4.75,34.5,26,118,7.35,4.50,Jacksonville Jaguars / 3rd / 69th pick / 2016
52,2016,Giorgio Newberry\NewbGi00,DE,,,Florida St.,College Stats,6-5,285,4.94,30.0,20,114,7.53,4.78,
53,2016,Keanu Neal\NealKe01,SS,20,13,Florida,College Stats,6-0,211,4.62,38.0,17,132,7.09,4.38,Atlanta Falcons / 1st / 17th pick / 2016
54,2016,Carl Nassib\NassCa00,DE,22,16,Penn St.,College Stats,6-7,277,4.84,28.5,21,114,7.27,4.37,Cleveland Browns / 3rd / 65th pick / 2016
55,2016,Eric Murray\MurrEr00,CB,22,7,Minnesota,College Stats,5-11,199,4.49,39.5,15,124,7.08,4.05,Kansas City Chiefs / 4th / 106th pick / 2016
56,2016,Antonio Morrison\MorrAn01,ILB,21,13,Florida,College Stats,6-1,232,4.76,,,,,,Indianapolis Colts / 4th / 125th pick / 2016
57,2016,Jalen Mills\MillJa02,SS,21,16,LSU,College Stats,6-0,191,4.61,37.0,16,123,6.86,4.00,Philadelphia Eagles / 7th / 233rd pick / 2016
58,2016,Harlan Miller\MillHa00,CB,21,1,SE Louisiana,,6-0,182,4.65,35.5,6,118,7.44,4.43,Arizona Cardinals / 6th / 205th pick / 2016
59,2016,Cassanova McKinzy\McKiCa01,ILB,23,0,Auburn,College Stats,6-1,248,4.83,,21,,,,
60,2016,Alex McCalister\McCaAl00,DE,22,,Florida,College Stats,6-6,239,4.80,34.5,,128,7.01,4.00,Philadelphia Eagles / 7th / 240th pick / 2016
61,2016,Tyler Matakevich\MataTy00,OLB,23,5,Temple,College Stats,6-0,238,4.81,31.0,22,112,7.19,4.50,Pittsburgh Steelers / 7th / 246th pick / 2016
62,2016,Blake Martinez\MartBl01,ILB,22,32,Stanford,College Stats,6-2,237,4.71,28.5,22,113,6.98,4.20,Green Bay Packers / 4th / 131st pick / 2016
63,2016,Curt Maggitt\MaggCu00,OLB,23,1,Tennessee,College Stats,6-3,247,4.73,,,,,,
64,2016,Luther Maddy\MaddLu00,DT,23,,Virginia Tech,College Stats,6-0,287,4.96,,29,,,,
65,2016,Jordan Lucas\LucaJo00,SS,22,4,Penn St.,College Stats,6-0,201,4.54,,,,,,Miami Dolphins / 6th / 204th pick / 2016
66,2016,Dean Lowry\LowrDe00,DE,21,22,Northwestern,College Stats,6-6,296,4.87,32.5,30,114,7.26,4.38,Green Bay Packers / 4th / 137th pick / 2016
67,2016,Steve Longa\LongSt00,ILB,21,2,Rutgers,College Stats,6-1,241,4.78,32.0,19,116,7.50,4.56,
68,2016,Jordan Lomax\LomaJo00,FS,22,,Iowa,College Stats,5-10,202,4.75,36.0,8,120,7.18,4.15,
69,2016,Cory Littleton\LittCo00,OLB,,,Washington,College Stats,6-3,238,4.73,29.5,,114,7.11,4.32,
70,2016,Darron Lee\LeexDa00,OLB,21,21,Ohio St.,College Stats,6-1,232,4.47,35.5,17,133,7.12,4.20,New York Jets / 1st / 20th pick / 2016
71,2016,Shaq Lawson\LawsSh00,DE,21,12,Clemson,College Stats,6-3,269,4.70,33.0,,120,7.16,4.21,Buffalo Bills / 1st / 19th pick / 2016
72,2016,Darius Latham\LathDa01,DT,21,2,Indiana,College Stats,6-4,311,5.32,29.0,,100,7.76,4.63,
73,2016,Nick Kwiatkoski\KwiaNi00,ILB,22,16,West Virginia,College Stats,6-2,243,4.73,32.0,19,120,7.16,4.22,Chicago Bears / 4th / 113th pick / 2016
74,2016,Derrick Kindred\KindDe00,FS,22,8,TCU,College Stats,5-10,207,4.50,37.5,,123,7.05,4.29,Cleveland Browns / 4th / 129th pick / 2016
75,2016,Miles Killebrew\KillMi00,SS,22,5,Southern Utah,,6-2,217,4.65,38.0,22,127,6.93,4.18,Detroit Lions / 4th / 111th pick / 2016
76,2016,Jayron Kearse\KearJa00,SS,22,5,Clemson,College Stats,6-4,216,4.62,31.5,16,124,7.06,,Minnesota Vikings / 7th / 244th pick / 2016
77,2016,Bronson Kaufusi\KaufBr01,DE,24,2,BYU,College Stats,6-6,285,4.87,30.0,25,111,7.03,4.25,Baltimore Ravens / 3rd / 70th pick / 2016
78,2016,Matt Judon\JudoMa00,DE,23,27,Grand Valley St.,,6-3,275,4.73,35.0,30,109,7.67,4.52,Baltimore Ravens / 5th / 146th pick / 2016
79,2016,Karl Joseph\JoseKa00,SS,22,15,West Virginia,College Stats,5-10,205,4.57,,,,,,Oakland Raiders / 1st / 14th pick / 2016
80,2016,Jonathan Jones\JoneJo02,CB,,,Auburn,College Stats,5-9,186,4.33,36.0,19,123,7.25,4.25,
81,2016,Deion Jones\JoneDe01,OLB,21,29,LSU,College Stats,6-1,222,4.59,33.0,,120,,,Atlanta Falcons / 2nd / 52nd pick / 2016
82,2016,Cyrus Jones\JoneCy00,CB,22,4,Alabama,College Stats,5-10,197,4.49,33.0,10,116,6.71,4.21,New England Patriots / 2nd / 60th pick / 2016
83,2016,Chris Jones\JoneCh09,DT,21,30,Mississippi St.,College Stats,6-6,310,5.03,24.5,26,106,7.44,4.62,Kansas City Chiefs / 2nd / 37th pick / 2016
84,2016,C.J. Johnson\JohnC.00,ILB,23,,Mississippi,College Stats,6-1,234,4.81,,,,,4.52,
85,2016,Austin Johnson\JohnAu01,DT,21,11,Penn St.,College Stats,6-4,314,5.32,26.0,25,96,7.84,4.75,Tennessee Titans / 2nd / 43rd pick / 2016
86,2016,Jordan Jenkins\JenkJo01,OLB,21,25,Georgia,College Stats,6-3,259,4.80,36.5,16,121,,,New York Jets / 3rd / 83rd pick / 2016
87,2016,Quinton Jefferson\JeffQu00,DT,22,12,Maryland,College Stats,6-4,291,4.95,29.0,24,,7.95,4.37,Seattle Seahawks / 5th / 147th pick / 2016
88,2016,William Jackson III\JackWi02,CB,23,11,Houston,College Stats,6-0,189,4.37,,10,116,,,Cincinnati Bengals / 1st / 24th pick / 2016
89,2016,Myles Jack\JackMy00,OLB,20,29,UCLA,College Stats,6-1,245,4.56,,19,,,,Jacksonville Jaguars / 2nd / 36th pick / 2016
90,2016,Branden Jackson\JackBr04,DE,23,4,Texas Tech,College Stats,6-4,273,5.06,31.5,20,113,7.40,4.77,
91,2016,Matt Ioannidis\IoanMa01,DT,22,18,Temple,College Stats,6-3,299,5.03,28.0,32,108,7.78,4.71,Washington Redskins / 5th / 152nd pick / 2016
92,2016,Xavien Howard\HowaXa00,CB,22,19,Baylor,College Stats,6-0,201,4.58,33.0,11,122,7.18,4.15,Miami Dolphins / 2nd / 38th pick / 2016
93,2016,Deandre Houston-Carson\HousDe00,FS,22,3,William & Mary,,6-1,201,4.54,32.5,13,115,7.15,4.28,Chicago Bears / 6th / 185th pick / 2016
94,2016,Willie Henry\HenrWi00,DT,21,4,Michigan,College Stats,6-3,303,5.00,30.5,28,110,7.57,4.53,Baltimore Ravens / 4th / 132nd pick / 2016
95,2016,Joel Heath\HeatJo00,DT,22,7,Michigan St.,College Stats,6-5,293,5.02,33.0,26,113,7.44,4.52,
