Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2019,Caleb Wilson\WilsCa00,TE,22,,UCLA,College Stats,6-4,240,4.56,29.0,,113,7.20,4.40,Arizona Cardinals / 7th / 254th pick / 2019
2,2019,Trayveon Williams\WillTr06,RB,21,0,Texas A&M,College Stats,5-8,206,4.51,33.0,19,121,7.44,4.44,Cincinnati Bengals / 6th / 182nd pick / 2019
3,2019,Jonah Williams\WillJo10,OT,21,,Alabama,College Stats,6-4,302,5.12,28.0,23,100,8.01,4.79,Cincinnati Bengals / 1st / 11th pick / 2019
4,2019,James Williams\WillJa08,RB,22,,Washington St.,College Stats,5-9,197,4.58,36.5,,118,7.01,4.25,
5,2019,Dexter Williams\WillDe07,RB,22,0,Notre Dame,College Stats,5-11,212,4.57,36.0,17,130,7.00,4.16,Green Bay Packers / 6th / 194th pick / 2019
6,2019,Antoine Wesley\WeslAn00,WR,,,Texas Tech,College Stats,6-4,206,,37.0,6,117,7.07,4.26,
7,2019,Trevon Wesco\WescTr00,TE,23,0,West Virginia,College Stats,6-3,267,4.89,31.0,24,117,7.18,4.38,New York Jets / 4th / 121st pick / 2019
8,2019,Mike Weber\WebeMi00,RB,21,,Ohio St.,College Stats,5-10,211,4.47,33.5,22,,,,Dallas Cowboys / 7th / 218th pick / 2019
9,2019,Jamarius Way\WayxJa00,WR,,,South Alabama,College Stats,6-3,215,4.63,32.5,16,119,,4.66,
10,2019,Kahale Warring\WarrKa00,TE,21,,San Diego St.,College Stats,6-5,252,4.67,36.5,19,122,7.21,4.25,Houston Texans / 3rd / 86th pick / 2019
11,2019,Clayton Thorson\ThorCl00,QB,23,,Northwestern,College Stats,6-4,222,,,,,,,Philadelphia Eagles / 5th / 167th pick / 2019
12,2019,Cody Thompson\ThomCo03,WR,,,Toledo,College Stats,6-1,205,4.57,38.5,19,119,6.87,4.03,
13,2019,Jawaan Taylor\TaylJa02,OT,21,8,Florida,College Stats,6-5,312,,,24,,,,Jacksonville Jaguars / 2nd / 35th pick / 2019
14,2019,Trevon Tate\TateTr00,OL,,,Memphis,College Stats,6-2,293,,,22,,,,
15,2019,Jordan Ta'amu\TaamJo00,QB,21,,Mississippi,College Stats,6-3,221,4.77,27.5,,109,7.06,4.36,
16,2019,William Sweet\SweeWi00,OT,,,North Carolina,College Stats,6-6,313,5.27,30.5,23,111,8.01,5.00,
